ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,snp500,nasdaq100,dow30,ipo,index,sma_5,sma_10,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
A,123.39,1.23,1.5,0.84,2025-09-26,249,True,False,False,False,False,124.39,125.54,126.33,2025-09-22,121.89,2025-09-25,-2.33,128.75,2025-09-05,121.89,2025-09-25,-1.45,151.96,2025-01-22,99.08,2025-04-08,-7.13,174.42,2021-09-03,6.51,2002-10-10,367.39,151.96,99.08,125.82,120.88,122.83,39.55,2.57,2.08,0.16,False,False
AA,32.71,4.01,1.26,6.49,2025-09-26,249,False,False,False,True,False,31.91,32.47,32.71,2025-09-26,31.23,2025-09-24,0.25,33.6,2025-09-15,30.93,2025-09-10,5.72,39.14,2025-01-17,22.42,2025-04-08,-13.03,94.29,2007-07-13,1.05,1962-06-25,2110.43,46.95,22.42,32.08,31.18,31.4,54.2,1.2,3.66,0.1,False,False
AAPL,255.46,-0.55,-1.41,45.57,2025-09-26,249,True,True,True,False,False,255.03,247.24,256.87,2025-09-25,252.31,2025-09-24,-0.24,256.87,2025-09-25,226.79,2025-09-10,11.2,256.87,2025-09-25,172.0,2025-04-08,5.13,258.1,2024-12-26,0.04,1982-07-08,259290.13,258.1,172.0,240.37,228.37,221.56,66.79,5.44,2.13,-2.74,False,False
AARD,13.23,4.42,0.56,0.11,2025-09-26,249,False,False,False,True,False,12.15,11.41,13.23,2025-09-26,11.23,2025-09-22,17.81,13.23,2025-09-26,7.79,2025-09-11,49.32,17.25,2025-02-20,7.0,2025-04-17,-7.55,17.25,2025-02-20,7.0,2025-04-17,-7.55,17.25,7.0,9.79,10.84,,86.82,0.94,7.14,0.0,True,False
ABBV,220.61,0.95,2.07,4.11,2025-09-26,249,True,False,False,False,False,220.87,220.35,222.61,2025-09-23,218.54,2025-09-25,-0.89,222.61,2025-09-23,209.79,2025-09-08,4.1,222.61,2025-09-23,166.22,2025-01-22,26.33,222.61,2025-09-23,20.2,2013-01-08,948.07,222.61,160.57,216.26,205.86,190.75,70.13,3.82,1.73,2.09,False,False
ABCL,4.74,1.94,0.09,3.82,2025-09-26,249,False,False,False,True,False,4.78,4.68,4.9,2025-09-23,4.65,2025-09-25,-1.86,4.9,2025-09-23,3.99,2025-09-03,17.04,5.15,2025-07-21,1.93,2025-04-08,56.44,58.9,2020-12-11,1.93,2025-04-08,-91.95,5.15,1.93,4.45,4.49,3.22,61.83,0.31,6.46,0.0,False,False
ABL,5.87,0.86,0.05,1.1,2025-09-26,249,False,False,False,True,False,5.99,6.27,6.12,2025-09-22,5.82,2025-09-25,-4.08,7.01,2025-09-02,5.82,2025-09-25,-16.26,8.96,2025-05-15,4.64,2025-06-27,-24.16,12.47,2024-02-01,4.64,2025-06-27,-39.55,10.27,4.64,6.48,6.13,7.03,25.31,0.3,5.12,-0.06,False,False
ABNB,123.7,1.6,1.95,2.83,2025-09-26,249,True,True,False,False,False,123.49,123.52,125.44,2025-09-22,121.75,2025-09-25,-1.39,127.59,2025-09-02,120.37,2025-09-15,-3.05,161.42,2025-02-14,105.69,2025-04-08,-5.92,216.84,2021-02-11,82.49,2022-12-28,-14.52,161.42,105.69,124.54,127.87,130.33,47.47,2.52,2.03,0.45,False,False
ABOS,1.42,-4.05,-0.06,1.73,2025-09-26,249,False,False,False,True,False,1.34,1.3,1.48,2025-09-25,1.23,2025-09-23,10.94,1.48,2025-09-25,1.23,2025-09-16,4.41,1.9,2025-01-03,0.9,2025-04-17,-23.24,20.28,2021-07-02,0.9,2025-04-17,-92.94,3.27,0.9,1.34,1.4,1.34,50.59,0.12,8.25,0.02,False,False
ABP,0.22,2.3,0.0,1.97,2025-09-26,249,False,False,False,True,False,0.22,0.21,0.24,2025-09-22,0.21,2025-09-23,-8.45,0.26,2025-09-03,0.16,2025-09-11,-13.53,1.61,2025-01-03,0.16,2025-09-11,-86.12,12.39,2024-07-05,0.16,2025-09-11,-97.8,11.69,0.16,0.21,0.24,0.57,50.0,0.02,10.71,0.0,False,False
ABSI,2.73,3.02,0.08,4.48,2025-09-26,249,False,False,False,True,False,2.63,2.63,2.73,2025-09-26,2.49,2025-09-24,1.49,2.74,2025-09-11,2.34,2025-09-02,16.67,5.82,2025-02-14,2.23,2025-04-03,0.74,30.29,2021-08-03,1.15,2023-10-26,-87.36,5.82,2.23,2.55,2.77,3.09,56.18,0.2,7.22,-0.01,False,False
ABT,133.55,0.18,0.24,2.93,2025-09-26,249,True,False,False,False,False,134.65,134.21,136.62,2025-09-22,133.31,2025-09-25,-2.25,136.62,2025-09-22,129.36,2025-09-10,1.59,138.95,2025-03-03,110.09,2025-01-15,19.43,138.95,2025-03-03,0.18,1980-03-25,73417.78,138.95,110.09,133.12,130.96,128.1,53.66,2.69,2.01,0.67,False,False
ABTC,6.58,-1.64,-0.11,2.44,2025-09-26,249,False,False,False,True,False,6.89,7.15,7.24,2025-09-22,6.58,2025-09-26,-9.12,9.31,2025-09-09,6.41,2025-09-04,-4.64,9.31,2025-09-09,0.68,2025-04-08,229.82,99600.0,2019-06-19,0.68,2025-04-08,-99.97,9.31,0.68,7.58,6.72,3.78,33.64,0.73,11.09,-0.03,False,False
ABVX,82.84,1.02,0.84,0.76,2025-09-26,249,False,False,False,True,False,82.32,82.64,82.84,2025-09-26,82.0,2025-09-25,0.77,90.0,2025-09-08,81.0,2025-09-17,1.04,90.0,2025-09-08,5.17,2025-04-08,1036.35,90.0,2025-09-08,5.17,2025-04-08,898.07,90.0,5.17,84.05,73.06,23.44,30.37,3.54,4.27,-0.21,False,False
ACA,92.62,1.1,1.01,0.14,2025-09-26,249,False,False,False,True,False,93.93,94.5,95.86,2025-09-23,91.61,2025-09-25,-3.17,98.25,2025-09-04,91.61,2025-09-25,-4.07,103.41,2025-02-06,70.58,2025-04-08,-4.01,111.38,2024-11-25,22.54,2018-12-19,226.1,111.38,70.58,95.88,93.8,90.43,38.24,2.43,2.62,-0.07,False,False
ACDC,3.77,1.62,0.06,1.28,2025-09-26,249,False,False,False,True,False,3.71,3.71,3.79,2025-09-24,3.62,2025-09-22,4.14,3.93,2025-09-02,3.59,2025-09-19,-4.07,10.53,2025-06-17,3.51,2025-08-14,-54.41,25.72,2022-11-22,3.51,2025-08-14,-79.18,10.53,3.51,3.8,5.03,6.66,47.48,0.23,6.16,0.0,False,False
ACEL,11.37,1.52,0.17,0.18,2025-09-26,249,False,False,False,True,False,11.23,11.14,11.37,2025-09-26,11.13,2025-09-22,2.16,11.49,2025-09-04,10.92,2025-09-16,-0.26,12.99,2025-07-30,9.57,2025-04-04,7.57,14.55,2020-09-15,5.6,2020-03-20,16.02,12.99,9.57,11.24,11.6,11.24,53.18,0.21,1.87,0.03,False,False
ACET,0.84,0.12,0.0,0.23,2025-09-26,249,False,False,False,True,False,0.84,0.82,0.86,2025-09-24,0.82,2025-09-22,2.31,0.88,2025-09-11,0.71,2025-09-04,14.44,1.09,2025-01-06,0.45,2025-04-10,-13.76,145.95,2018-02-23,0.45,2025-04-10,-99.29,1.52,0.45,0.79,0.74,0.78,60.0,0.06,7.31,-0.01,False,False
ACGL,90.88,1.46,1.31,1.37,2025-09-26,249,True,False,False,False,False,89.54,88.89,90.88,2025-09-26,88.03,2025-09-22,3.24,92.9,2025-09-03,87.35,2025-09-17,-0.48,96.94,2025-03-27,84.99,2025-04-07,-0.55,109.22,2024-10-04,1.2,1999-12-14,3947.79,109.22,84.99,90.24,89.77,91.46,49.94,1.71,1.88,0.43,False,False
ACHR,9.28,-0.54,-0.05,33.16,2025-09-26,249,False,False,False,True,False,9.57,9.42,10.0,2025-09-23,9.28,2025-09-26,-2.83,10.0,2025-09-23,8.25,2025-09-10,7.91,13.4,2025-07-17,6.2,2025-04-04,-3.03,17.14,2021-02-18,1.63,2022-12-27,-6.92,13.4,2.94,8.99,9.69,9.36,60.72,0.53,5.7,0.08,False,True
