ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
AAPL,269.43,0.36,0.96,41.24,2025-11-10,249,,True,True,True,False,False,269.57,269.43,2025-11-10,269.43,2025-11-10,0.36,270.14,2025-11-05,268.47,2025-11-07,0.14,271.4,2025-10-30,172.0,2025-04-08,10.88,271.4,2025-10-30,0.04,1982-07-08,273474.98,271.4,172.0,269.74,262.69,253.0,224.35,64.27,5.12,1.9,0.48,False,False
AMGN,323.66,1.08,3.46,2.21,2025-11-10,249,,True,True,True,False,False,315.2,323.66,2025-11-10,323.66,2025-11-10,1.08,323.66,2025-11-10,296.3,2025-11-03,9.23,323.66,2025-11-10,252.22,2025-01-06,27.98,326.46,2024-09-20,0.05,1984-11-19,137166.53,323.66,252.22,304.66,300.05,290.66,289.6,70.14,7.68,2.37,0.4,False,False
AMZN,248.4,1.63,3.99,34.12,2025-11-10,249,,True,True,True,False,False,247.07,248.4,2025-11-10,248.4,2025-11-10,1.63,254.0,2025-11-03,243.04,2025-11-06,-2.2,254.0,2025-11-03,167.32,2025-04-21,12.8,254.0,2025-11-03,0.07,1997-05-22,253584.24,254.0,167.32,241.6,229.73,227.77,214.99,68.04,8.03,3.23,3.9,False,False
AXP,367.88,-0.18,-0.66,2.87,2025-11-10,249,,True,False,True,False,False,365.69,367.88,2025-11-10,367.88,2025-11-10,-0.18,368.54,2025-11-07,360.49,2025-11-04,1.73,368.54,2025-11-07,230.22,2025-04-08,24.6,368.54,2025-11-07,0.38,1974-10-03,29883.77,368.54,230.22,362.89,353.15,339.97,303.45,71.3,6.89,1.87,0.94,False,False
BA,194.81,0.1,0.2,7.42,2025-11-10,249,,True,False,True,False,False,196.32,194.81,2025-11-10,194.81,2025-11-10,0.1,204.55,2025-11-03,194.61,2025-11-07,-4.76,237.38,2025-09-02,136.59,2025-04-04,13.35,430.3,2019-03-01,0.12,1970-07-07,101931.71,237.38,136.59,202.42,209.79,215.8,200.48,25.2,5.24,2.69,1.28,False,False
CAT,570.85,1.38,7.75,1.82,2025-11-10,249,,True,False,True,False,False,564.09,570.85,2025-11-10,570.85,2025-11-10,1.38,570.85,2025-11-10,547.58,2025-11-04,0.05,585.49,2025-10-29,270.85,2025-04-08,61.07,585.49,2025-10-29,0.36,1962-06-25,122849.49,585.49,270.85,566.14,544.2,493.77,393.23,64.25,19.28,3.38,6.9,False,False
CRM,241.71,0.76,1.83,5.26,2025-11-10,249,,True,False,True,False,False,245.6,241.71,2025-11-10,241.71,2025-11-10,0.76,261.34,2025-11-03,239.27,2025-11-06,-7.51,358.19,2025-01-28,231.26,2025-08-12,-26.54,365.66,2024-12-04,2.37,2004-08-13,5580.29,365.66,231.26,251.21,250.76,247.02,267.63,27.22,6.92,2.86,0.12,False,False
CSCO,72.09,1.44,1.02,19.92,2025-11-10,249,,True,True,True,False,False,71.72,72.09,2025-11-10,72.09,2025-11-10,1.44,74.45,2025-11-03,71.04,2025-11-06,-3.17,74.45,2025-11-03,52.55,2025-04-08,25.13,74.45,2025-11-03,0.05,1990-10-10,143343.46,74.45,52.55,72.3,71.06,69.07,64.43,55.87,1.42,1.97,0.69,False,False
CVX,155.65,0.41,0.63,8.25,2025-11-10,249,,True,False,True,False,False,153.93,155.65,2025-11-10,155.65,2025-11-10,0.41,155.65,2025-11-10,152.66,2025-11-05,1.05,164.65,2025-04-01,130.67,2025-04-21,9.79,167.4,2023-01-26,0.3,1962-06-14,49398.17,164.65,130.67,154.42,154.13,155.43,149.0,54.65,2.73,1.76,0.4,True,False
DIS,112.24,1.35,1.5,9.15,2025-11-10,249,,True,False,True,False,False,111.26,112.24,2025-11-10,112.24,2025-11-10,1.35,112.24,2025-11-10,110.49,2025-11-06,0.11,124.01,2025-06-30,81.37,2025-04-08,1.71,198.6,2021-03-08,0.03,1962-10-26,195300.9,124.01,81.37,111.48,111.66,113.33,109.9,41.15,1.89,1.68,0.4,False,False
