ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
AAPL,248.04,-0.12,-0.31,41.63,2026-01-23,250,,True,True,True,False,False,249.25,248.35,2026-01-22,246.7,2026-01-20,0.54,271.01,2026-01-02,246.7,2026-01-20,-8.48,271.01,2026-01-02,246.7,2026-01-20,-8.48,286.19,2025-12-02,0.04,1982-07-08,252000.12,286.19,171.83,254.51,262.07,269.77,234.73,12.08,5.06,2.04,-1.03,False,False
ABNB,132.15,-1.23,-1.65,4.3,2026-01-23,250,,True,True,False,False,False,132.19,133.8,2026-01-22,130.73,2026-01-20,1.09,140.07,2026-01-13,130.66,2026-01-16,-0.65,140.07,2026-01-13,130.66,2026-01-16,-0.65,216.84,2021-02-11,82.49,2022-12-28,-8.68,161.42,105.69,134.42,135.53,128.22,127.79,48.26,4.14,3.13,-0.59,False,False
ADBE,301.07,0.45,1.34,4.37,2026-01-23,250,,True,True,False,False,False,296.3,301.07,2026-01-23,290.37,2026-01-20,3.68,339.04,2026-01-08,290.37,2026-01-20,-9.67,339.04,2026-01-08,290.37,2026-01-20,-9.67,688.37,2021-11-19,0.19,1986-08-28,151911.7,464.11,290.37,306.16,326.4,331.47,357.65,26.51,8.58,2.85,1.73,True,False
ADI,305.6,-0.95,-2.92,2.91,2026-01-23,250,,True,True,False,False,False,303.0,308.52,2026-01-22,295.67,2026-01-20,3.36,308.52,2026-01-22,273.74,2026-01-02,11.64,308.52,2026-01-22,273.74,2026-01-02,11.64,308.52,2026-01-22,0.37,1980-03-27,68386.11,308.52,162.63,300.61,290.23,272.44,238.22,74.58,9.03,2.96,1.97,False,False
ADP,257.87,-0.77,-1.99,2.11,2026-01-23,250,,True,True,False,False,False,258.05,259.86,2026-01-22,255.1,2026-01-20,1.09,266.02,2026-01-09,252.88,2026-01-02,1.97,266.02,2026-01-09,252.88,2026-01-02,1.97,321.43,2025-06-06,0.39,1980-03-27,65811.18,321.43,247.46,259.48,259.21,257.33,285.93,56.64,4.87,1.89,-1.73,False,False
ADSK,270.0,0.09,0.23,1.49,2026-01-23,250,,True,True,False,False,False,263.35,270.0,2026-01-23,253.87,2026-01-20,6.35,293.79,2026-01-07,253.87,2026-01-20,-5.83,293.79,2026-01-07,253.87,2026-01-20,-5.83,342.27,2021-08-25,0.44,1985-06-28,60665.99,326.79,238.84,266.48,280.81,291.13,296.4,38.95,8.35,3.09,-0.36,True,False
AEP,116.63,-0.47,-0.55,2.53,2026-01-23,250,,True,True,False,False,False,118.39,119.22,2026-01-20,116.63,2026-01-23,-2.17,119.96,2026-01-16,113.7,2026-01-07,0.71,119.96,2026-01-16,113.7,2026-01-07,0.71,123.77,2025-11-28,0.51,1974-12-23,12842.12,123.77,94.58,117.96,116.54,117.88,110.08,52.86,2.11,1.81,-0.25,False,True
ALNY,357.98,-3.25,-12.02,1.64,2026-01-23,250,,False,True,False,False,False,361.65,370.0,2026-01-22,355.53,2026-01-20,0.69,422.5,2026-01-07,355.53,2026-01-20,-10.54,422.5,2026-01-07,355.53,2026-01-20,-10.54,491.22,2025-10-20,3.95,2004-08-16,5014.0,491.22,224.32,367.35,385.41,413.65,379.94,32.49,18.55,5.18,-1.8,False,False
AMAT,322.38,1.13,3.59,6.2,2026-01-23,250,,True,True,False,False,False,322.33,325.24,2026-01-21,318.23,2026-01-20,1.3,327.01,2026-01-16,268.87,2026-01-02,19.9,327.01,2026-01-16,268.87,2026-01-02,19.9,327.01,2026-01-16,0.06,1980-03-27,465977.96,327.01,125.98,314.59,291.99,266.99,202.72,71.68,13.5,4.19,0.19,False,False
AMD,259.68,2.35,5.95,47.43,2026-01-23,250,,True,True,False,False,False,245.39,259.68,2026-01-23,231.92,2026-01-20,11.97,259.68,2026-01-23,203.17,2026-01-09,16.2,259.68,2026-01-23,203.17,2026-01-09,16.2,264.33,2025-10-29,1.62,2015-07-27,8154.73,264.33,78.21,231.03,222.57,220.99,171.84,73.57,11.27,4.34,7.45,True,False
