ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_max,fiftytwo_week_min,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,security,sector,sub_industry,headquarter,date_added,cik,founded
A,132.4,-1.59,-2.14,2.08,2024-11-26,154.6,124.7,133.2,137.8,138.5,47.12,3.61,2.72,0,0,134.5,2024-11-25,132.4,2024-11-26,-1.59,140.4,2024-11-05,125.7,2024-11-19,-3.3,154.6,2024-05-20,125.44,2024-07-09,-4.61,179.2,2021-09-03,7.76,2002-10-10,320.5,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999
AAPL,234.8,0.78,1.82,26.78,2024-11-26,236.5,165.0,227.2,228.4,205.2,62.75,3.82,1.63,1,0,234.8,2024-11-26,232.9,2024-11-25,0.78,234.8,2024-11-26,222.0,2024-11-04,5.28,236.5,2024-10-21,165.0,2024-04-19,26.42,236.5,2024-10-21,0.05,1982-07-08,inf,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
ABBV,180.0,1.63,2.89,3.69,2024-11-26,203.9,138.1,183.8,188.8,178.9,47.44,4.58,2.55,1,0,180.0,2024-11-26,177.0,2024-11-25,1.63,203.5,2024-11-01,165.0,2024-11-15,-11.59,203.9,2024-10-31,154.8,2024-05-29,12.6,203.9,2024-10-31,33.72,2013-01-08,412.5,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ABNB,139.8,-0.84,-1.19,1.73,2024-11-26,168.1,113.0,136.4,133.5,142.8,57.0,3.96,2.83,0,0,140.9,2024-11-25,139.8,2024-11-26,-0.84,147.4,2024-11-07,131.5,2024-11-19,2.4,168.1,2024-03-21,113.0,2024-08-07,3.91,216.9,2021-02-11,82.5,2022-12-28,-3.43,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008
ABT,117.75,-0.35,-0.41,1.32,2024-11-26,120.94,100.06,116.44,115.56,110.9,55.47,2.02,1.72,0,0,118.1,2024-11-25,117.75,2024-11-26,-0.35,118.6,2024-11-01,115.0,2024-11-14,-0.74,120.94,2024-03-08,100.06,2024-07-18,7.16,141.5,2021-12-27,0.49,1980-03-25,23380.0,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888
ACGL,100.25,0.16,0.16,0.58,2024-11-26,114.9,73.44,99.56,106.1,99.56,46.88,2.43,2.42,1,0,100.25,2024-11-26,100.06,2024-11-25,0.16,101.9,2024-11-08,95.0,2024-11-04,4.37,114.9,2024-10-04,75.56,2024-01-02,32.66,114.9,2024-10-04,1.26,1999-12-14,4144.0,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,1995
ACN,363.2,0.56,2.02,0.94,2024-11-26,387.0,281.8,356.0,357.0,334.5,55.28,6.73,1.85,0,0,363.2,2024-11-26,361.2,2024-11-25,0.56,370.2,2024-11-13,344.0,2024-11-04,5.1,387.0,2024-03-07,281.8,2024-06-03,4.73,415.5,2021-12-29,11.85,2001-09-27,2294.0,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
ADBE,522.5,0.76,3.95,1.24,2024-11-26,635.0,439.0,502.5,503.2,517.5,59.56,12.45,2.38,1,0,522.5,2024-11-26,518.5,2024-11-25,0.76,532.5,2024-11-13,481.2,2024-11-04,8.26,635.0,2024-02-02,439.0,2024-06-03,-9.89,688.5,2021-11-19,0.21,1986-08-28,inf,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
ADI,217.1,-2.88,-6.43,4.41,2024-11-26,243.4,180.6,219.4,224.8,216.0,47.34,6.43,2.96,0,0,223.6,2024-11-25,217.1,2024-11-26,-2.88,227.8,2024-11-07,206.4,2024-11-15,-3.69,243.4,2024-07-16,183.4,2024-04-19,12.18,243.4,2024-07-16,0.6,1980-03-27,29730.0,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965
ADM,53.2,0.34,0.18,1.02,2024-11-26,76.44,51.38,53.34,56.3,59.22,43.47,1.2,2.25,0,0,53.2,2024-11-26,53.0,2024-11-25,0.34,55.3,2024-11-04,51.44,2024-11-12,-2.65,73.1,2024-01-03,51.38,2024-01-25,-26.9,98.25,2022-04-20,1.38,1982-07-07,2778.0,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902
