category_name,gainers,losers,sma5_above_sma10,sma5_below_sma10,close_above_sma50_sma200,close_below_sma50_sma200,rsi_above_70,rsi_below_30,fifty_two_week_high,fifty_two_week_low,up_three_days,down_three_days,last_date
snp500,157,345,276,225,209,161,126,25,21,8,54,102,2025-12-08
nasdaq100,35,66,72,30,42,31,28,8,3,4,10,19,2025-12-08
dow,10,20,21,9,17,8,4,0,2,1,3,9,2025-12-08
nasdaq_ipo,305,328,382,248,217,243,161,27,31,22,76,78,2025-12-08
Health_Care,9,51,16,44,31,14,8,2,0,0,4,22,2025-12-08
Information_Technology,36,34,60,10,37,17,23,1,2,0,18,2,2025-12-08
Consumer_Discretionary,17,32,29,19,18,15,13,0,3,0,4,9,2025-12-08
Financials,26,49,50,25,39,16,33,3,8,1,9,11,2025-12-08
Consumer_Staples,16,21,12,25,11,17,9,0,1,2,2,8,2025-12-08
Industrials,30,48,53,26,37,22,22,1,2,1,9,12,2025-12-08
Utilities,3,28,2,29,0,13,0,16,0,0,0,13,2025-12-08
Materials,6,20,12,13,9,11,5,1,1,2,2,5,2025-12-08
Real_Estate,7,24,6,25,4,22,0,1,1,2,3,16,2025-12-08
Energy,1,21,19,3,15,2,5,0,0,0,0,3,2025-12-08
Communication_Services,6,17,17,6,8,12,8,0,3,0,3,1,2025-12-08
